mobile13	Have a good evening.
mobile20	Are you going to join us for lunch?
mobile32	OK to make changes, change out original.
mobile39	Do you want to eat lunch somewhere before?
mobile68	If so he probably will have to pay back.
mobile73	I have already approved and forwarded.
mobile82	How are we handling others in that group?
mobile89	Is she done yet?
mobile109	Michael has his holiday performance.
mobile112	Here's the talking points for ANNGTC.
mobile126	Very foggy this AM.
mobile134	Mostly a social call.
mobile148	I would like to attend if so.
mobile157	I am in 50M if you need me.
mobile182	Chad thought we were on a treasure hunt.
mobile201	Thanks I needed that today!
mobile206	No problem Maria, please contact Rick.
mobile210	A bit behind on my emails.
mobile217	What is your issue sir?
mobile230	Paige is gone.
mobile278	I'm in the waiting room of the ENT now.
mobile280	Check with Haedicke
mobile283	Is Cassandra there today?
mobile288	Shouldn't be too hard though.
mobile290	In a couple of weeks.
mobile300	I will call in 20 to 30 minutes.
mobile323	This is the neatest toy I have had.
mobile333	No, but thanks.
mobile361	Can we go to 150/150 with Foster?
mobile393	Surely we can cover this from within Virgo's team?
mobile409	Do you need it today?
mobile412	Will call later to explain.
mobile422	There will be some better news later today
mobile423	What is going on?
mobile460	I'll probably page you.
mobile478	Would you please send runner to get this?
mobile497	I'm looking forward to the long weekend!
mobile498	Do we need to do anything here?
mobile503	Because there is traffic.
mobile506	Jane, what about this Thursday for lunch?
mobile515	Presumably so do you.
mobile519	What is happening to the stock price?
mobile542	Are things better for you at home tonight?
mobile546	Mixed signals from APS today.
mobile559	Milly is a seller.
mobile571	Boy, I couldn't write too much on this thing!
mobile581	Shelley (making good use of my jury duty time)
mobile590	Next time ask Jim to call me.
mobile599	This looks fine.
mobile600	I am out of town on business.
mobile615	I would expect an answer ASAP.
mobile632	Did you see Laura's message.?
mobile636	Is it over?
mobile641	I'll get you one.
mobile671	I'll just have her call Tracy.
mobile697	What did you and Ava decide to do?
mobile723	Lynn checked with Fran and she told her coordinator.
mobile729	I am on a plane, sorry.
mobile745	I think that we should enforce the agreement.
mobile753	Did he get a signing bonus?
mobile761	Still hustling to find dollars for the quarter end.
mobile776	When do you have to be there?
mobile783	We are about to leave Heaven!
mobile786	Please leave it to Brian.
mobile797	Just playing with you!
mobile807	They may want to discuss with you.
mobile858	Wasn't nearly as bad as I thought.
mobile867	I think that Pam Butler called him.
mobile877	I'll come have a beer with you guys later.
mobile878	The SoCal meeting was very beneficial.
mobile893	We must be consistent.
mobile905	This is a most unfortunate news release.
mobile912	We can have wine and catch up.
mobile918	You just can't work without me can you?
